name,brand,manufacturer,certification_level,certification_description,ingredients,product_description,usage,image_url,page_number
ANTI-DANDRUFF SHAMPOO WITH ORGANIC JUNIPER OIL,Logona,LOGOCOS Naturkosmetik GMBH & CO. KG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua (Water), Alcohol*, Coco-Glucoside, Glycerin, Disodium Cocoyl Glutamate, Glyceryl Oleate, Sodium PCA, Sodium Cocoyl Glutamate, Polyglyceryl-10 Laurate, Xanthan Gum, Citric Acid, Betaine, Juniperus Oxycedrus Wood Oil*, Rosmarinus Officinalis (Rosemary) Leaf Extract*, Populus Nigra Bud Extract, Phytic Acid, Betula Alba Leaf Extract*, Urtica Dioica (Nettle) Extract*, Levulinic Acid, Salix Alba (Willow) Bark Extract, Sodium Levulinate, Tannic Acid, Tocopherol, Hydrogenated Palm Glycerides Citrate, Lecithin, Ascorbyl Palmitate
     *  from certified organic agriculture",,,,
ARNICA MASSAGE OIL,Weleda,Weleda AG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","Helianthus Annuus (Sunflower) Seed Oil*, Olea Europaea (Olive) Fruit Oil*, Fragrance (Parfum)**, Arnica Montana Flower Extract*, Betula Alba Leaf Extract, Limonene**, Linalool*, Geraniol**, Coumarin**
     *of controlled biological cultivation 
   ** from natural essential oils",,,,
"AROMAMOUR, LIEBELUST MASSAGEÖL",farfalla,Farfalla Essentials AG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","SIMMONDSIA CHINENSIS SEED OIL*, JASMINUM GRANDIFLORUM FLOWER EXTRACT, PARFUM, LIMONENE**, LINALOOL**, CITRONELLOL**, GERANIOL**, EUGENOL**, BENZYL BENZOATE**, FARNESOL**, CITRAL**, BENZYL SALICYLATE**.
      * certified organic
    ** part of natural essential oils",,,,
AUFBAUENDES ALGEN-WIRKSTOFFKONZENTRAT,Oceanwell,oceanBASIS GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Saccharomyces/Laminaria Saccharina Ferment, Maris Aqua, Alcohol, Xanthan Gum.
Preserved with: Benzyl Alcohol, Sodium Benzoate, Potassium Sorbate",,,,
BALANCE GESICHTSTONIC,Charlotte Meentzen,Charlotte Meentzen Kräutervital Kosmetik GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua (Water), Betaine, Citrus Aurantium Dulcis (Orange) Fruit Water, Glycerin, Camellia Sinensis Leaf Extract, Schizandra Chinensis Fruit Extract, Alcohol, Sodium Levulinate, Sucrose Laurate, Sodium Anisate, Citric Acid, Limonene, Parfum (Fragrance), Linalool, Geraniol

Main ingredients 
Schisandra Extract, Green Tea, Orange Fruit Water, Betaine",,,,
BALANCE SHAMPOO ORGANIC NETTLE,Biokosma,BIOKOSMA Melisana AG,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Sodium Coco-Sulfate, Coco-Glucoside, Citrus Aurantium Dulcis (Orange) Fruit Water*, Sodium Chloride, Malus Domestica (Apple) Juice*, Carum Carvi Seed Extract*, Tropaeolum Majus (Indian Cress) Extract*, Urtica Dioica (Nettle) Leaf Extract*, Hydrolyzed Wheat Protein, Prunus Amygdalus Dulcis (Sweet Almond) Oil*, PCA Glyceryl Oleate, Tocopherol, Glyceryl Oleate, Decyl Glucoside, Dicaprylyl Ether, Stearyl Citrate, Glycerin*, Lauryl Glucoside, Lactic Acid, Parfum (Fragrance), Linalool**, Benzyl Alcohol, Sodium Benzoate, Potassium Sorbate, Benzoic Acid, Dehydroacetic Acid, Citric Acid
     *from controlled organic cultivation 
   **component of essential oils",,,,
BALANCE TAGESPFLEGE,Charlotte Meentzen,Charlotte Meentzen Kräutervital Kosmetik GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua (Water), Caprylic/Capric Triglyceride, Decyl Cocoate, Oryza Sativa (Rice) Bran Oil, Shorea Stenoptera Seed Butter, Simmondsia Chinensis (Jojoba) Seed Oil, Alcohol, Betaine, Cetearyl Alcohol, Glyceryl Stearate, Arctium Lappa Seed Oil, Camellia Sinensis Leaf Extract, Schizandra Sphenanthera Fruit Extract, Stearic Acid, Glycerin, Myristyl Alcohol, Sodium Levulinate, Arachidyl Alcohol, Bisabolol, Sodium Lauroyl Glutamate, Behenyl Alcohol, Dehydroxanthan Gum, Myristyl Glucoside, Limonene, Helianthus Annuus (Sunflower) Seed Oil, Arachidyl Glucoside, Sodium Anisate, Glyceryl Caprylate, Citric Acid, Parfum (Fragrance), Levulinic Acid, Rosmarinus Officinalis (Rosemary) Leaf Extract, Linalool, Geraniol, Citronellol

Main ingredients 
Schisandra Extract, Green Tea, Bisabolol, Betaine, Jojoba Oil, Rice Bran Oil, Burdock Seed Oil, Shorea Butter",,,,
BELEBENDE LOTION,Oceanwell,oceanBASIS GmbH,Natural cosmetics,Strict rules for naturalness apply. The natural ingredients are not necessarily from organic cultivation.,"Aqua, Caprylic/Capric Triglyceride, Maris Aqua, Simmondsia Chinensis Oil*, Saccharomyces/Laminaria Saccharina Ferment, Hamamelis Virginiana Distillate, Glyceryl Stearate Citrate, Butyrospermum Parkii Butter*, Cetyl Alcohol, Alcohol (aus Fermentation der Algen), Glyceryl Stearate, Aloe Barbadensis Gel, konserviert mit/preserved with: Benzyl Alcohol, Glycerin, Benzoic Acid, Sorbic Acid.",,,,
BIO-PFLEGEÖL APRIKOSENKERNÖL,farfalla,Farfalla Essentials AG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","PRUNUS ARMENIACA KERNEL OIL*. 
     * certified organic",,,,
BIO-PFLEGEÖL ARGANÖL,farfalla,Farfalla Essentials AG,Organic cosmetics,"At least 95% of natural and/or derived natural ingredients, where applicable, stem from organic agriculture or controlled harvesting of wild plants.","ARGANIA SPINOSA KERNEL OIL*. 
     * certified organic",,,,
